通貨ペア,戦略,リターン(%),勝率(%),取引回数,最大DD(%),シャープレシオ,PF,平均取引(%)
BTC/USDT,MAクロス+RSI,3.9,45.45,11,-2.31,2.88,2.51,0.35
SOL/USDT,MAクロス+RSI,8.21,58.33,12,-4.11,2.13,2.31,0.66
ETH/USDT,MAクロス+RSI,-2.78,37.5,8,-4.88,-2.21,0.61,-0.36
BTC/USDT,RSI平均回帰,-5.05,45.0,40,-9.44,-2.41,0.78,-0.14
SOL/USDT,RSI平均回帰,-11.68,40.54,37,-19.96,-3.33,0.74,-0.35
BTC/USDT,ボリンジャーバンド,-12.86,31.43,35,-15.19,-8.43,0.47,-0.4
ETH/USDT,ボリンジャーバンド,-17.26,31.43,35,-19.72,-9.87,0.49,-0.6
SOL/USDT,ボリンジャーバンド,-21.69,31.25,32,-28.2,-12.1,0.53,-0.78
ETH/USDT,RSI平均回帰,-21.37,29.73,37,-24.3,-18.79,0.46,-0.69
